"LIDNUM","ORDER","FAMILY","GENUS","SPECIES","SUBORDERORSUPERFAMILY","SUBFAMILY","MAX_AGE","MIN_AGE","LAT","LONG","COUNTRY","STATE","COUNTY","LOC_SYNONYMS","BODYMASS","DIET_1","DIET_2","DIET_3","LOCOMO1","LOCOMO2","LOCOMO3"
26550,"Proboscidea","Deinotheriidae","Deinotherium","giganteum","\N","\N",7.6,7.1,38.5166666666667,46.5333333333333,"Iran","\N","\N","\N","11240000","p","herbivore","browse","te","surficial","graviportal"
28243,"Primates","Hominidae","indet.","indet.","\N","\N",12.333,12.108,41.5341644,1.7659521,"Spain","Catalonia","\N","ACM/C1-E*","\N","\N","\N","\N","te","\N","\N"
28244,"Primates","Hominidae","Dryopithecus","fontani","\N","\N",11.852,11.434,41.5341644,1.7659521,"Spain","Catalonia","\N","ACM/C3-Ae","35000","p","herbivore","fruit","te","arboreal","\N"
28245,"Primates","Hominoidea","Anoiapithecus","brevirostris","\N","\N",11.852,11.434,41.5341644,1.7659521,"Spain","Catalonia","\N","ACM/C3-Aj","\N","\N","\N","\N","te","\N","\N"
28246,"Primates","Hominidae","Dryopithecus","fontani","\N","\N",11.852,11.434,41.5341644,1.7659521,"Spain","Catalonia","\N","ACM/C3-Az","35000","p","herbivore","fruit","te","arboreal","\N"
28247,"Primates","Hominoidea","indet.","indet.","\N","\N",11.852,11.434,41.5341644,1.7659521,"Spain","Catalonia","\N","ACM/C4-Ap","\N","\N","\N","\N","te","\N","\N"
28248,"Primates","Hominoidea","indet.","indet.","\N","\N",11.852,11.434,41.5341644,1.7659521,"Spain","Catalonia","\N","ACM/C4-Cp","\N","\N","\N","\N","te","\N","\N"
20859,"Perissodactyla","Equidae","Cremohipparion","mediterraneum","\N","\N",8.9,5.3,38.5,23.5,"Greece","\N","\N","Achladion","187000","p","herbivore","br/gr","te","surficial","cursorial"
20859,"Artiodactyla","Bovidae","Tragoportax","amalthea","\N","\N",8.9,5.3,38.5,23.5,"Greece","\N","\N","Achladion","150294","p","herbivore","br/gr","te","surficial","\N"
20859,"Artiodactyla","Bovidae","Palaeoryx","pallasi","\N","\N",8.9,5.3,38.5,23.5,"Greece","\N","\N","Achladion","226028","p","herbivore","browse","te","surficial","\N"
20859,"Artiodactyla","Suidae","Propotamochoerus","indet.","\N","Suinae",8.9,5.3,38.5,23.5,"Greece","\N","\N","Achladion","\N","o","omnivore","plant_dom","te","surficial","gen_quad"
20859,"Perissodactyla","Equidae","Hippotherium","brachypus","\N","\N",8.9,5.3,38.5,23.5,"Greece","\N","\N","Achladion","265232","p","herbivore","\N","te","\N","\N"
21650,"Proboscidea","Gomphotheriidae","Gomphotherium","angustidens","\N","\N",12.85,9.9,48.433,12.367,"Germany","\N","\N","\N","3629130","p","herbivore","br/gr","te","surficial","graviportal"
21650,"Proboscidea","Gomphotheriidae","indet.","indet.","\N","\N",12.85,9.9,48.433,12.367,"Germany","\N","\N","\N","\N","p","herbivore","\N","te","surficial","graviportal"
21650,"Proboscidea","Gomphotheriidae","Gomphotherium","indet.","\N","\N",12.85,9.9,48.433,12.367,"Germany","\N","\N","\N","\N","p","herbivore","browse","te","surficial","graviportal"
24909,"Artiodactyla","Bovidae","Gazella","indet.","\N","\N",8.9,5.3,38.4172,23.5003,"Greece","\N","\N","\N","\N","p","herbivore","graze","te","surficial","\N"
24909,"Carnivora","Hyaenidae","Ictitherium","indet.","\N","\N",8.9,5.3,38.4172,23.5003,"Greece","\N","\N","\N","\N","a","carnivore","meat","te","surficial","gen_quad"
24909,"Perissodactyla","Rhinocerotidae","indet.","indet.","\N","\N",8.9,5.3,38.4172,23.5003,"Greece","\N","\N","\N","\N","p","herbivore","\N","te","surficial","gen_quad"
24909,"Artiodactyla","Giraffidae","Helladotherium","indet.","\N","\N",8.9,5.3,38.4172,23.5003,"Greece","\N","\N","\N","800000","p","herbivore","\N","te","surficial","\N"
24909,"Perissodactyla","Equidae","Hipparion","indet.","\N","\N",8.9,5.3,38.4172,23.5003,"Greece","\N","\N","\N","\N","p","herbivore","graze","te","surficial","hyper_curs"
20132,"Artiodactyla","Bovidae","Maremmia","hauptii","\N","\N",7.6,7.1,43,11.1,"Italy","Tuscany","Grosseto","\N","50000","p","herbivore","br/gr","te","surficial","\N"
20133,"Perissodactyla","Rhinocerotidae","Lartetotherium","sansaniensis","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","687017","p","herbivore","browse","te","surficial","gen_quad"
20133,"Artiodactyla","Suidae","Bunolistriodon","lockharti","\N","Listriodontinae",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","144032","p","herbivore","plant_dom","te","surficial","gen_quad"
20133,"Artiodactyla","Tragulidae","Dorcatherium","indet.","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","p","herbivore","browse","te","surficial","\N"
20133,"Perissodactyla","Rhinocerotidae","Brachypotherium","indet.","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","p","herbivore","\N","te","surficial","graviportal"
20133,"Artiodactyla","Bovidae","Hypsodontus","indet.","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","\N","p","herbivore","\N","te","surficial","\N"
20133,"Proboscidea","Gomphotheriidae","Gomphotherium","cooperi","\N","\N",17.2,16.4,26.451,48.59,"Saudi Arabia","\N","Dhahran","\N","2052906","p","herbivore","\N","te","surficial","\N"
